  0.600000000000000       0.405073661797019     	  0.600000000000000        3.15024067709701     
  0.700000000000000       0.252622416097012     	  0.700000000000000        2.00228271729700     
  0.800000000000000       0.154552980697019     	  0.800000000000000        1.27027040029702     
  0.900000000000000       9.093765489701866E-002	  0.900000000000000       0.795231763797000     
   1.00000000000000       5.001735999701395E-002	   1.00000000000000       0.483802662897014     
   1.10000000000000       2.447783639701129E-002	   1.10000000000000       0.278987940697016     
   1.20000000000000       9.579543297022042E-003	   1.20000000000000       0.144914386397014     
   1.30000000000000       2.147992497015139E-003	   1.30000000000000       5.843751109700585E-002
   1.40000000000000       4.407970237707559E-007	   1.40000000000000       4.319936696995874E-003
   1.50000000000000       1.602876497017292E-003	   1.50000000000000      -2.764158120299093E-002
   1.60000000000000       5.857059797023112E-003	   1.60000000000000      -4.437830410299731E-002
   1.70000000000000       1.196449329701466E-002	   1.70000000000000      -5.065482530299042E-002
   1.80000000000000       1.933720369702030E-002	   1.80000000000000      -4.977869960300146E-002
   1.90000000000000       2.753755329702301E-002	   1.90000000000000      -4.406472310299697E-002
   2.00000000000000       3.623699239702205E-002	   2.00000000000000      -3.514298670298494E-002
   2.10000000000000       4.518662589701705E-002	   2.10000000000000      -2.416818340299748E-002
   2.20000000000000       5.419753249701387E-002	   2.20000000000000      -1.196170440298366E-002
   2.30000000000000       6.312552149701389E-002	   2.30000000000000       8.904991970070664E-004
   2.40000000000000       7.186059599702332E-002	   2.40000000000000       1.397012719700691E-002
   2.50000000000000       8.031912499701832E-002	   2.50000000000000       2.697765539699909E-002
   2.60000000000000       8.843773239701136E-002	   2.60000000000000       3.969913519699170E-002
   2.70000000000000       9.617055509701800E-002	   2.70000000000000       5.198158909700518E-002
   2.80000000000000       0.103483933997012     	   2.80000000000000       6.371589259701133E-002
   2.90000000000000       0.110355400097021     	   2.90000000000000       7.482446599700560E-002
   3.00000000000000       0.116771573597021     	   3.00000000000000       8.525179009701284E-002
   3.10000000000000       0.122726846397015     	   3.10000000000000       9.495870619701358E-002
   3.20000000000000       0.128222070997012     	   3.20000000000000       0.103917635997001     
   3.30000000000000       0.133264085297014     	   3.30000000000000       0.112109031697011     
   3.40000000000000       0.137864104197021     	   3.40000000000000       0.119521987397002     
  3.500   0.141933602	   3.50000000000000       0.126150904996999     
  3.600   0.145720147	   3.60000000000000       0.131994094396995     
  3.700   0.149122616	   3.70000000000000       0.137055278797001     
  3.800   0.152167080	  3.800   0.141411540
  3.900   0.154879493	  3.900   0.145612810
  4.000   0.157285685	  4.000   0.149329327
  4.100   0.159411366	  4.100   0.152605154
  4.200   0.161281851	  4.200   0.155482732
  4.300   0.162922359	  4.300   0.158002373
  4.400   0.164356969	  4.400   0.160201917
  4.500   0.165608455	  4.500   0.162116531
  4.600   0.166698231	  4.600   0.163778604
  4.700   0.167643293	  4.700   0.165217734
  4.800   0.168459840	  4.800   0.166460784
  4.900   0.169164410	  4.900   0.167531977
  5.000   0.169773862	  5.000   0.168453035
  5.200   0.170760446	  5.200   0.169920081
  5.400   0.171475265	  5.400   0.170991923
  5.600   0.171949389	  5.600   0.171769430
  5.800   0.172234568	  5.800   0.172329742
  6.000   0.172416425	  6.000   0.172731106
  6.200   0.172574734	  6.200   0.173017022
  6.400   0.172725068	  6.400   0.173219656
  6.600   0.172863600	  6.600   0.173362587
  6.800   0.172983962	  6.800   0.173462963
  7.000   0.173077973	  7.000   0.173533164
  7.200   0.173139555	  7.200   0.173582075
  7.600   0.173193845	  7.600   0.173639524
  8.000   0.173221753	  8.000   0.173666873
  8.400   0.173279589	  8.400   0.173679743
  8.800   0.173343750	  8.800   0.173685738
  9.200   0.173378227	  9.200   0.173688505
  9.600   0.173376776	  9.600   0.173689771
 10.000   0.173357489	 10.000   0.173690347
 10.200   0.173353689	 10.200   0.173690502
 10.500   0.173350869	 10.500   0.173690645
 11.500   0.173350869	 11.500   0.173690645
 12.500   0.173350869	 12.500   0.173690645
 13.500   0.173350869	 13.500   0.173690645
 14.500   0.173350869	 14.500   0.173690645
 15.000   0.173350869	 15.000   0.173690645
